listingId,item_name,restaurant,food_category,item_description
1,Pepperoni Pizza,7-Eleven,Pizza,Pepperoni Pizza on a Light & Crispy Crust w/ 100% Whole Milk Mozzarella & Tomato Sauce; Pizza; Food; At Participating Locations; Choice of: Slice or Whole Large Pie
2,Extreme Meat Pizza,7-Eleven,Pizza,Extreme Meat Pizza on a Light & Crispy Crust w/ 100% Whole Milk Mozzarella Cheese & Tomato Sauce; Pizza; Food; At Participating Locations; Choice of: Slice or Whole Large Pie
3,Taquitos,7-Eleven,Entrees,Taquitos; Hot Snacks; Snacks; Late Night; Chicken; Beef; Meals; Choice of: Monterey Jack & Chicken; Steak & Jack Cheese; Taco & Cheese; Buffalo Chicken; Nacho Cheese & Beef; Hatch Green Chile & Chicken Baked or Jalapeno & Cream Cheese
4,Cheeseburger,7-Eleven,Burgers,Cheeseburger w/ 1/4 lb Beef Patty & American Cheese on Hamburger Bun; Sandwiches; Meals
5,Chicken Strips,7-Eleven,Entrees,Chicken Strips; Hot Foods
6,Cheese,7-Eleven,Pizza,Cheese; Pizza
7,Quesadilla Burger,Applebee's,Burgers,Quesadilla Burger w/ 2 Slices of Pepper Jack Cheese; Mexi Ranch Sauce; Applewood Smoked Bacon; Pico de Gallo; Lettuce & Cheddar Quesadilla w/out Sides; Burgers
8,Classic Burger,Applebee's,Burgers,Classic Burger on a Brioche Bun w/ Lettuce; Tomato; Onion & Pickles w/out Sides; Burgers; Choice of Adding: Cheese; Bacon
9,Chicken Tenders,Applebee's,Entrees,Chicken Tenders; Kids; Choice of Adding: Side & Drink
10,Kraft Macaroni & Cheese,Applebee's,Entrees,Kraft Macaroni & Cheese; Kids; Choice of Adding: Side & Drink
11,Shrimp N Parmesan Sirloin,Applebee's,Entrees,8 oz Shrimp N Parmesan Sirloin w/ Sauteed Shrimp & Lemon Butter Parmesan Sauce w/out Sides; From The Grill
12,Bourbon Street Chicken & Shrimp,Applebee's,Entrees,Bourbon Street Chicken & Shrimp w/ Cajun Seasoned Chicken; Blackened Shrimp; Garlic Butter; Parsley; Sauteed Onions & Mushrooms & Garlic Mashed Potatoes; Chicken; Choice in 2 for $22
13,Fiesta Lime Chicken,Applebee's,Entrees,Fiesta Lime Chicken w/ Mexi Ranch Sauce; Cheddar Cheese; Tortilla Strips; Spanish Rice & Pico de Gallo; Chicken; Choice in 2 for $22
